Distance	Percent
7.5	68
8.3	66
6.2	34
1.6	30
5.6	70
6	62
4.3	47
8.1	72
5.7	40
0.3	53
1.6	18
2.5	48
5.8	53
5.3	48
6.3	64
3.4	52
6.2	61
3.2	34
6.3	65
6.1	66
4.6	33
6.7	76
0.5	34
3.2	46
5.3	55
5	33
4.8	46
6.4	49
0.2	17
4.9	47
6.2	63
7.6	69
6.6	54
2.9	52
2.1	43
4.8	35
8.1	58
1.2	5
4.6	46
4	57
6.1	40
0.8	39
5.9	42
6.5	62
6.5	52
7.5	76
7.2	67
6.7	45
4.1	23
4	33
4.8	59
4	50
6.2	49
5.5	44
7	52
7.5	68
6.2	48
5.7	55
7.3	77
1.9	9
2.8	35
6.3	51
9.4	84
3.7	30
4.9	61
1.8	40
3.6	24
2.9	37
2.6	51
3.1	30
4.7	47
5.9	54
2.5	47
4.6	52
5.2	52
7.6	52
3.7	33
7.4	74
3.3	56
5.1	53
5.1	54
7.5	76
4.7	37
2.7	45
2.7	50
